,Programme,Profit_first_month,Profit_second_month,successful
300,0,0.5329409833201648,6.099517044152574,0.0
845,1,-12.457792296977146,2.736559524120928,0.0
1058,2,0.0,1.594291442580307,0.0
449,3,2.944439163728422,1.774751246276311,1.0
293,4,0.006213652962930807,0.26587336550995944,0.0
960,5,0.2006426907497667,0.12693480851798122,1.0
665,6,26.2166685311833,2.3349022961362693,1.0
555,7,65.4388240124266,65.60770759620274,0.0
1281,8,-0.10728926483904712,-0.7473792495304125,1.0
1244,9,0.0,1.9792174609150717,0.0
1422,10,1.9397589222643887,2.399811845572508,0.0
180,11,0.0,1.8233876065526222,0.0
501,12,1.8675984866585957,2.9422652902931135,0.0
1290,13,3.9190968934785024,1.991222468997414,1.0
866,14,-16.92592756805745,1.1744065543417632,0.0
89,15,-6.361624130570477,4.061362883311876,0.0
995,16,0.3087978407067407,1.1350044882931063,0.0
1321,17,0.0,-0.015018474182819166,1.0
8,18,2.7113329170289706,2.891363666749219,0.0
578,19,0.2396198278831403,-0.3374557073712806,1.0
1397,20,17.305305700404908,38.13247468405123,0.0
494,21,3.830168910645036,0.14439630455323757,1.0
1208,22,0.0,0.26171985032976786,0.0
238,23,47.8425059727575,-0.4089288013326377,1.0
1216,24,1.1921548487341616,11.60345778542607,0.0
630,25,0.05065842483500714,0.016457503973934678,1.0
1064,26,0.0,1.0839137852866634,0.0
350,27,3.5005973169620073,6.636382518851005,0.0
1238,28,11.038199994634557,1.8587740425329486,1.0
209,29,0.37469581013926534,14.676815268758535,0.0
550,30,-4.048938580765654,21.291910938495363,0.0
934,31,4.049072649775863,5.421109974432895,0.0
2,32,0.0,7.863272578679158,0.0
271,33,0.4052106990322955,1.2325896796952585,0.0
1204,34,-0.021968885738948046,3.7911049180712286,0.0
240,35,-0.14708296549993527,-1.683318990600931,1.0
1414,36,26.049596653786928,97.4892552524732,0.0
875,37,0.012622801357475791,4.61233368351197,0.0
273,38,0.10617737439962796,1.4620679578283389,0.0
699,39,-2.091158095536331,5.1216218665294715,0.0
30,40,17.657421911219444,168.47613005403232,0.0
583,41,8.201782530245628,1.5379405687917542,1.0
623,42,3.61662224997456,3.658182323464431,0.0
229,43,-0.010313110990036964,7.063600403925107,0.0
1233,44,-3.3691174044678722,3.827903447317366,0.0
203,45,0.0,2.436676693756266,0.0
204,46,0.0,0.5749103129269131,0.0
97,47,0.7485480761235421,18.791085553176377,0.0
937,48,-0.5366368914863149,19.75438108971326,0.0
544,49,0.0,2.91491304636416,0.0
385,50,44.48799901882597,1.4896239773672841,1.0
